City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
236,Lima,PE,-12.0432,-77.0282,65.62,83,100,6.98,overcast clouds
237,Enshi,CN,30.3,109.4833,50.02,73,99,0.16,overcast clouds
238,Srednekolymsk,RU,67.45,153.6833,-38.4,100,39,2.51,scattered clouds
239,Sioux Lookout,CA,50.1001,-91.917,28.78,86,100,12.77,overcast clouds
240,Narsaq,GL,60.9167,-46.05,39.42,100,100,1.77,moderate rain
241,Comodoro Rivadavia,AR,-45.8667,-67.5,58.32,44,100,12.19,overcast clouds
242,Vestmanna,FO,62.1564,-7.1664,23.92,86,93,1.14,overcast clouds
243,Leningradskiy,RU,69.3833,178.4167,-19.93,90,8,9.51,clear sky
244,Kismayo,SO,-0.3582,42.5454,78.64,79,96,2.8,overcast clouds
245,Kaitangata,NZ,-46.2817,169.8464,61.39,54,0,7.4,clear sky
246,Kieta,PG,-6.2167,155.6333,84.61,69,100,5.77,overcast clouds
247,Brainerd,US,46.358,-94.2008,35.62,64,1,9.22,clear sky
248,Monopoli,IT,40.9559,17.2896,53.44,62,88,18.72,overcast clouds
249,Gushikawa,JP,26.3544,127.8686,71.19,60,75,19.57,broken clouds
250,Banita,RO,45.45,23.2667,40.71,94,95,5.14,overcast clouds
251,Turbat,PK,26.0023,63.044,68.49,26,0,8.72,clear sky
252,Evinayong,GQ,1.4368,10.5512,67.26,98,100,1.74,overcast clouds
253,Ust-Kut,RU,56.7938,105.7672,8.26,92,100,5.17,overcast clouds
254,Lahij,YE,13.1667,44.5833,72.7,62,0,3.18,clear sky
255,Gejiu,CN,23.306,103.1635,46.11,89,100,1.97,overcast clouds
256,Haines Junction,CA,60.7522,-137.5108,6.78,98,100,3.09,light snow
257,Sulphur Springs,US,33.1385,-95.6011,50.14,87,90,5.75,light intensity drizzle
258,Chuy,UY,-33.6971,-53.4616,67.03,86,100,8.81,overcast clouds
259,Vardo,NO,70.3705,31.1107,24.62,77,43,13.49,scattered clouds
260,Longyearbyen,SJ,78.2186,15.6401,12.04,67,40,28.77,scattered clouds
261,Vila Do Maio,CV,15.1333,-23.2167,75.99,76,82,18.9,broken clouds
262,Rio Grande,BR,-32.035,-52.0986,68.4,90,95,9.48,overcast clouds
263,Concepcion Del Uruguay,AR,-32.4825,-58.2372,72.07,61,100,6.62,overcast clouds
264,Kapoeta,SS,4.7717,33.5903,78.58,55,48,14.23,light rain
265,Inhambane,MZ,-23.865,35.3833,67.69,69,1,8.25,clear sky
266,Lasa,IT,46.6166,10.7002,32.74,96,100,3.62,light snow
267,Kaoma,ZM,-14.7833,24.8,62.67,90,50,4.85,scattered clouds
268,Bairiki,KI,1.3292,172.9752,81.64,76,97,19.08,overcast clouds
269,Hami,CN,42.8,93.45,24.22,72,78,10.42,broken clouds
270,Sulangan,PH,11.1373,123.7228,82.33,80,100,11.07,overcast clouds
271,Kristiinankaupunki,FI,62.2743,21.376,22.26,64,100,6.13,overcast clouds
272,Katsuura,JP,35.1333,140.3,51.91,48,0,13.67,clear sky
273,Najran,SA,17.4924,44.1277,59.83,48,0,1.72,clear sky
274,Alamosa,US,37.4695,-105.87,40.51,38,1,0.0,clear sky
275,Luknovo,RU,56.1983,42.04,33.06,97,100,13.51,overcast clouds
276,Leshukonskoye,RU,64.8989,45.7622,-0.96,100,100,3.18,overcast clouds
